,MovieID,RatingSum,RatingCount,WeightedRatingSum,InputGenre
65,3702,3906,1066,708,Action
66,2763,3966,1089,699,Action
67,3703,3799,1034,697,Action
68,1101,3723,1010,693,Action
69,2948,2999,771,686,Action
70,2353,3643,988,679,Action
71,648,5242,1527,661,Action
72,2640,4322,1222,656,Action
73,3104,2950,765,655,Action
74,1608,3861,1076,633,Action
75,1275,2850,741,627,Action
76,1370,4020,1135,615,Action
77,555,2585,658,611,Action
78,2872,2829,742,603,Action
79,2288,2805,741,582,Action
80,1573,4833,1421,570,Action
81,2949,2503,646,565,Action
82,2985,4242,1229,555,Action
83,2006,3501,983,552,Action
84,2001,3584,1011,551,Action
85,316,3895,1116,547,Action
86,2951,2085,522,519,Action
87,3624,2891,791,518,Action
88,2366,2764,756,496,Action
89,3555,3214,908,490,Action
90,2058,2883,799,486,Action
91,2662,2180,565,485,Action
92,3654,1990,502,484,Action
93,10,3144,888,480,Action
94,165,2938,825,463,Action
95,1261,2097,548,453,Action
96,2278,2843,806,425,Action
97,368,2826,802,420,Action
98,1129,3063,884,411,Action
99,1372,3413,1001,410,Action
100,3763,2503,701,400,Action
101,2193,2804,802,398,Action
102,3000,1431,345,396,Action
103,2490,2710,773,391,Action
104,2167,2813,809,386,Action
105,3107,2990,869,383,Action
106,1722,2967,862,381,Action
107,329,3343,990,373,Action
108,3265,1353,327,372,Action
109,940,1502,378,368,Action
110,3755,3395,1013,356,Action
111,2273,2236,627,355,Action
112,2105,3255,970,345,Action
113,3062,1398,352,342,Action
114,3836,1466,375,341,Action
115,610,2192,618,338,Action
116,3267,1781,483,332,Action
117,1597,2762,811,329,Action
118,1375,3109,927,328,Action
119,3082,2913,862,327,Action
120,353,2529,734,327,Action
121,2617,3345,1007,324,Action
122,2912,1744,474,322,Action
123,1277,1410,363,321,Action
124,2427,2729,803,320,Action
125,3635,1756,487,295,Action
126,2528,2172,626,294,Action
127,1218,1024,244,292,Action
128,3639,1673,461,290,Action
129,2993,1497,404,285,Action
130,2013,2149,622,283,Action
131,2393,2702,807,281,Action
132,1264,1042,257,271,Action
133,2527,2176,636,268,Action
134,2023,2589,774,267,Action
135,3623,4196,1313,257,Action
136,1552,3116,954,254,Action
137,112,1963,570,253,Action
138,2991,1516,422,250,Action
139,163,1867,540,247,Action
140,3740,1994,584,242,Action
141,1587,1957,572,241,Action
142,3020,1809,524,237,Action
143,1378,1921,562,235,Action
144,2403,1418,397,227,Action
145,3384,1049,276,221,Action
146,3366,1010,265,215,Action
147,2989,1488,425,213,Action
148,1917,3543,1110,213,Action
149,1047,1512,434,210,Action
150,2002,2610,802,204,Action
151,292,2396,733,197,Action
152,3576,1046,284,194,Action
153,736,3523,1110,193,Action
154,3827,1617,478,183,Action
155,493,1075,298,181,Action
156,198,1994,605,179,Action
157,1916,1241,354,179,Action
158,3300,1789,542,163,Action
159,3633,1222,353,163,Action
160,507,1085,308,161,Action
161,3153,933,258,159,Action
162,2881,2516,786,158,Action
163,1676,3644,1163,155,Action
164,1754,1314,388,150,Action
165,1876,2834,895,149,Action
166,1518,1211,354,149,Action
167,2414,1285,379,148,Action
168,1049,1501,451,148,Action
169,3698,2335,730,145,Action
170,494,1392,416,144,Action
171,70,2885,914,143,Action
172,861,959,273,140,Action
173,2641,2677,846,139,Action
174,653,1974,612,138,Action
175,3441,1556,475,131,Action
176,552,1714,529,127,Action
177,3405,558,144,126,Action
178,3638,2081,652,125,Action
179,1385,1507,461,124,Action
180,2924,520,133,121,Action
181,3704,2286,722,120,Action
182,2826,2369,750,119,Action
183,2905,318,69,111,Action
184,1479,1800,563,111,Action
185,2405,2129,673,110,Action
186,1371,2484,792,108,Action
187,145,1193,362,107,Action
188,2600,1335,410,105,Action
189,2476,1004,300,104,Action
190,3744,1365,421,102,Action
191,288,2201,700,101,Action
192,3266,563,154,101,Action
193,2457,876,259,99,Action
194,3404,756,219,99,Action
195,2363,999,301,96,Action
196,1918,2101,669,94,Action
197,3729,758,222,92,Action
198,1429,982,297,91,Action
199,1205,781,231,88,Action
200,1788,360,91,87,Action
201,2376,1062,325,87,Action
202,376,1136,350,86,Action
203,2344,688,201,85,Action
204,2094,2288,736,80,Action
205,2409,1414,445,79,Action
206,3406,394,105,79,Action
207,1792,1421,448,77,Action
208,2990,1232,385,77,Action
209,2879,568,164,76,Action
210,3197,829,251,76,Action
211,3430,735,220,75,Action
212,1480,869,265,74,Action
213,3769,643,190,73,Action
214,2370,499,142,73,Action
215,2347,355,95,70,Action
216,1785,610,180,70,Action
217,3519,666,199,69,Action
218,517,1213,382,67,Action
219,748,1314,417,63,Action
220,3771,513,151,60,Action
221,434,2116,686,58,Action
222,786,1437,460,57,Action
223,3275,333,92,57,Action
224,3726,350,98,56,Action
225,3029,622,190,52,Action
226,3444,716,222,50,Action
227,3310,235,62,49,Action
228,2334,1206,386,48,Action
229,170,1010,321,47,Action
230,3452,1040,331,47,Action
231,3274,1361,438,47,Action
232,522,296,83,47,Action
233,1544,3811,1255,46,Action
234,1858,562,172,46,Action
235,1769,1001,319,44,Action
236,3643,347,101,44,Action
237,2475,462,140,42,Action
238,3628,345,101,42,Action
239,1616,1222,395,37,Action
240,1320,2810,925,35,Action
241,2880,249,72,33,Action
242,465,348,105,33,Action
243,390,209,59,32,Action
244,3372,199,56,31,Action
245,1910,154,41,31,Action
246,1586,1700,557,29,Action
247,3807,347,106,29,Action
248,2802,945,306,27,Action
249,2613,870,281,27,Action
250,2275,239,71,26,Action
251,1687,1037,337,26,Action
252,423,687,221,24,Action
253,2533,1408,463,19,Action
254,1627,769,250,19,Action
255,2956,442,141,19,Action
256,1866,584,189,17,Action
257,89,704,229,17,Action
258,1801,1190,391,17,Action
259,511,472,152,16,Action
260,1112,120,35,15,Action
261,3137,61,16,13,Action
262,394,66,18,12,Action
263,2812,149,46,11,Action
264,2723,2568,853,9,Action
265,2756,103,32,7,Action
266,3283,52,15,7,Action
267,2582,205,66,7,Action
268,2524,803,266,5,Action
269,2625,203,66,5,Action
270,251,59,18,5,Action
271,2540,473,156,5,Action
272,3443,19,5,4,Action
273,2699,4105,1367,4,Action
274,3139,54,17,3,Action
275,1434,8,2,2,Action
276,624,4,1,1,Action
277,3314,13,4,1,Action
278,1832,4,1,1,Action
279,1833,793,264,1,Action
280,139,4,1,1,Action
281,2741,184,61,1,Action
282,1364,7,2,1,Action
283,3523,25,8,1,Action
284,998,280,93,1,Action
285,3184,15,5,0,Action
286,401,6,2,0,Action
287,1134,6,2,0,Action
288,286,3,1,0,Action
289,2258,6,2,0,Action
290,2308,2,1,-1,Action
291,1773,5,2,-1,Action
292,980,14,5,-1,Action
293,1181,29,10,-1,Action
294,2823,10,4,-2,Action
295,591,4,2,-2,Action
296,2737,67,23,-2,Action
297,1636,12,5,-3,Action
298,876,60,21,-3,Action
299,1796,12,5,-3,Action
300,2487,17,7,-4,Action
301,384,116,40,-4,Action
302,1102,8,4,-4,Action
303,2893,121,42,-5,Action
304,442,1915,640,-5,Action
305,98,12,6,-6,Action
306,2892,30,12,-6,Action
307,815,12,6,-6,Action
308,886,306,104,-6,Action
309,3805,95,34,-7,Action
310,1473,113,40,-7,Action
311,2534,43,17,-8,Action
312,504,526,178,-8,Action
313,2260,137,49,-10,Action
314,303,1244,418,-10,Action
315,462,74,28,-10,Action
316,1825,88,33,-11,Action
317,3389,103,38,-11,Action
318,3781,75,29,-12,Action
319,1720,9,7,-12,Action
320,3782,120,44,-12,Action
321,3898,123,45,-12,Action
322,3563,25,13,-14,Action
323,2307,100,38,-14,Action
324,547,357,124,-15,Action
325,2196,66,27,-15,Action
326,3717,1737,584,-15,Action
327,1604,179,65,-16,Action
328,204,593,203,-16,Action
329,1383,17,11,-16,Action
330,168,1068,362,-18,Action
331,2535,339,119,-18,Action
332,2322,850,290,-20,Action
333,2530,1075,365,-20,Action
334,1523,150,57,-21,Action
335,1867,92,38,-22,Action
336,1432,277,100,-23,Action
337,1170,28,17,-23,Action
338,3165,160,61,-23,Action
339,990,139,54,-23,Action
340,1377,3069,1031,-24,Action
341,996,744,256,-24,Action
342,459,405,143,-24,Action
343,1744,206,77,-25,Action
344,1667,314,113,-25,Action
345,2835,142,56,-26,Action
346,387,280,102,-26,Action
347,1335,36,21,-27,Action
348,3442,90,39,-27,Action
349,2364,336,121,-27,Action
350,479,372,133,-27,Action
351,3431,227,85,-28,Action
352,3434,86,38,-28,Action
353,1382,353,127,-28,Action
354,42,634,221,-29,Action
355,704,97,42,-29,Action
356,3584,357,129,-30,Action
357,2365,377,136,-31,Action
358,3879,401,144,-31,Action
359,1690,2305,779,-32,Action
360,1004,269,101,-34,Action
361,1379,1073,369,-34,Action
362,1869,118,51,-35,Action
363,9,271,102,-35,Action
364,3667,67,35,-38,Action
365,1626,204,81,-39,Action
366,558,365,135,-40,Action
367,1525,92,44,-40,Action
368,3433,103,48,-41,Action
369,1488,823,288,-41,Action
370,3716,159,67,-42,Action
371,227,345,129,-42,Action
372,3864,385,143,-44,Action
373,1497,100,48,-44,Action
374,667,96,47,-45,Action
375,809,270,105,-45,Action
376,544,341,129,-46,Action
377,2735,1330,459,-47,Action
378,464,601,216,-47,Action
379,2614,85,44,-47,Action
380,379,1260,436,-48,Action
381,2041,387,145,-48,Action
382,694,373,141,-50,Action
383,2410,1153,401,-50,Action
384,2531,884,312,-52,Action
385,3432,163,72,-53,Action
386,315,406,153,-53,Action
387,533,555,203,-54,Action
388,2170,314,123,-55,Action
389,2532,1018,358,-56,Action
390,438,399,152,-57,Action
391,1438,904,321,-59,Action
392,1762,621,227,-60,Action
393,798,552,204,-60,Action
394,548,349,137,-62,Action
395,3208,729,264,-63,Action
396,360,317,127,-64,Action
397,44,867,311,-66,Action
398,3316,800,289,-67,Action
399,3768,175,81,-68,Action
400,2402,1133,401,-70,Action
401,2965,146,72,-70,Action
402,1752,547,206,-71,Action
403,1606,255,109,-72,Action
404,20,406,160,-74,Action
405,3946,226,100,-74,Action
406,1495,58,44,-74,Action
407,3841,843,306,-75,Action
408,2367,852,309,-75,Action
409,2368,98,58,-76,Action
410,2722,1718,598,-76,Action
411,1739,64,47,-77,Action
412,3889,326,135,-79,Action
413,15,359,146,-79,Action
414,95,1835,638,-79,Action
415,1100,1179,420,-81,Action
416,2818,93,58,-81,Action
417,836,629,237,-82,Action
418,3697,1844,643,-85,Action
419,71,202,96,-86,Action
420,2468,1036,374,-86,Action
421,3764,647,245,-88,Action
422,3766,485,191,-88,Action
423,3257,1790,626,-88,Action
424,1599,110,67,-91,Action
425,692,224,106,-94,Action
426,3767,217,104,-95,Action
427,2373,469,189,-98,Action
428,1431,591,232,-105,Action
429,839,299,135,-106,Action
430,1391,3115,1074,-107,Action
431,1681,292,134,-110,Action
432,2815,703,271,-110,Action
433,2807,160,91,-113,Action
434,611,534,216,-114,Action
435,466,1602,573,-117,Action
436,2525,342,153,-117,Action
437,393,195,105,-120,Action
438,2126,1359,495,-126,Action
439,181,150,93,-129,Action
440,2748,281,137,-130,Action
441,1772,559,230,-131,Action
442,2411,992,375,-133,Action
443,2549,390,175,-135,Action
444,327,936,358,-138,Action
445,3710,417,185,-138,Action
446,1388,958,370,-152,Action
447,688,485,213,-154,Action
448,2421,1277,477,-154,Action
449,1373,1685,613,-154,Action
450,3705,982,380,-158,Action
451,502,300,155,-165,Action
452,2816,276,148,-168,Action
453,2817,205,125,-170,Action
454,3438,1430,534,-172,Action
455,420,882,352,-174,Action
456,3802,735,304,-177,Action
457,405,431,203,-178,Action
458,3877,368,182,-178,Action
459,1591,1245,475,-180,Action
460,2808,942,375,-183,Action
461,2568,451,214,-191,Action
462,2253,1128,440,-192,Action
463,172,1180,458,-194,Action
464,2616,1674,624,-198,Action
465,2404,705,301,-198,Action
466,3440,361,188,-203,Action
467,3113,1483,564,-209,Action
468,1037,1636,615,-209,Action
469,3268,319,179,-218,Action
470,3439,534,251,-219,Action
471,208,1713,651,-240,Action
472,1590,1254,498,-240,Action
473,1389,389,210,-241,Action
474,2412,576,274,-246,Action
475,485,1254,500,-246,Action
476,849,1283,511,-250,Action
477,2422,607,286,-251,Action
478,1831,1724,667,-277,Action
479,153,2053,777,-278,Action
480,2153,575,288,-289,Action
481,737,609,300,-291,Action
482,2986,1174,493,-305,Action
483,2720,808,373,-311,Action
484,1499,878,399,-319,Action
485,1882,1160,499,-337,Action
486,2642,1194,511,-339,Action
487,2643,627,332,-369,Action
488,173,1302,564,-390,Action
489,546,656,350,-394,Action
490,1556,687,367,-414,Action
491,160,1265,565,-430,Action
492,1562,1368,606,-450,Action
493,3593,551,342,-475,Action
494,2701,1947,902,-759,Action
495,260,13321,2991,4348,Adventure
496,1196,12836,2990,3866,Adventure
497,1198,11257,2514,3715,Adventure
498,1197,9976,2318,3022,Adventure
499,1210,11598,2883,2949,Adventure
500,919,7298,1718,2144,Adventure
501,480,10057,2672,2041,Adventure
502,1259,7313,1785,1958,Adventure
503,1580,9492,2538,1878,Adventure
504,1291,6729,1628,1845,Adventure
505,2916,7350,1996,1362,Adventure
506,3175,6517,1728,1333,Adventure
507,590,5681,1451,1328,Adventure
508,969,4494,1057,1323,Adventure
509,1374,5619,1448,1275,Adventure
510,2987,6620,1799,1223,Adventure
511,1127,6318,1715,1173,Adventure
512,1204,3658,831,1165,Adventure
513,1073,5070,1313,1131,Adventure
514,733,4989,1340,969,Adventure
515,1262,3046,696,958,Adventure
516,1356,4859,1310,929,Adventure
517,2406,4962,1345,927,Adventure
518,2628,7672,2250,922,Adventure
519,380,5088,1400,888,Adventure
520,592,5153,1431,860,Adventure
521,1287,2894,704,782,Adventure
522,349,3946,1059,769,Adventure
523,2115,4143,1127,762,Adventure
524,1215,3595,945,760,Adventure
525,1376,4117,1126,739,Adventure
526,2968,3731,1010,701,Adventure
527,2871,2873,729,686,Adventure
528,648,5242,1527,661,Adventure
529,2640,4322,1222,656,Adventure
530,3104,2950,765,655,Adventure
531,1275,2850,741,627,Adventure
532,1254,1943,453,584,Adventure
533,2006,3501,983,552,Adventure
534,316,3895,1116,547,Adventure
535,2366,2764,756,496,Adventure
536,10,3144,888,480,Adventure
537,1261,2097,548,453,Adventure
538,29,1637,403,428,Adventure
539,2161,2520,699,423,Adventure
540,1274,1778,452,422,Adventure
541,1129,3063,884,411,Adventure
542,1372,3413,1001,410,Adventure
543,1019,2129,575,404,Adventure
544,3699,2994,865,399,Adventure
545,2193,2804,802,398,Adventure
546,3000,1431,345,396,Adventure
547,2470,3125,912,389,Adventure
548,2167,2813,809,386,Adventure
549,3168,1829,485,374,Adventure
550,329,3343,990,373,Adventure
551,940,1502,378,368,Adventure
552,3479,1991,542,365,Adventure
553,2005,2504,716,356,Adventure
554,3755,3395,1013,356,Adventure
555,1967,2015,554,353,Adventure
556,1303,1280,310,350,Adventure
557,2105,3255,970,345,Adventure
558,610,2192,618,338,Adventure
559,1375,3109,927,328,Adventure
560,2617,3345,1007,324,Adventure
561,2528,2172,626,294,Adventure
562,2013,2149,622,283,Adventure
563,1552,3116,954,254,Adventure
564,112,1963,570,253,Adventure
565,2046,1858,536,250,Adventure
566,1587,1957,572,241,Adventure
567,3070,2070,611,237,Adventure
568,3494,1196,320,236,Adventure
569,3461,1294,353,235,Adventure
570,1931,907,225,232,Adventure
571,3366,1010,265,215,Adventure
572,1917,3543,1110,213,Adventure
573,3745,1809,535,204,Adventure
574,3927,1246,348,202,Adventure
575,736,3523,1110,193,Adventure
576,1017,990,276,162,Adventure
577,952,969,269,162,Adventure
578,3153,933,258,159,Adventure
579,3770,1173,338,159,Adventure
580,1676,3644,1163,155,Adventure
581,1031,1110,319,153,Adventure
582,2133,1772,541,149,Adventure
583,1049,1501,451,148,Adventure
584,2414,1285,379,148,Adventure
585,2116,1460,438,146,Adventure
586,3698,2335,730,145,Adventure
587,1615,822,227,141,Adventure
588,2,2244,701,141,Adventure
589,986,836,232,140,Adventure
590,2641,2677,846,139,Adventure
591,653,1974,612,138,Adventure
592,2099,796,221,133,Adventure
593,1566,1538,469,131,Adventure
594,552,1714,529,127,Adventure
595,3470,398,92,122,Adventure
596,2905,318,69,111,Adventure
597,2405,2129,673,110,Adventure
598,1371,2484,792,108,Adventure
599,1085,495,131,102,Adventure
600,3269,1528,477,97,Adventure
601,2143,1161,355,96,Adventure
602,2970,388,98,94,Adventure
603,86,801,236,93,Adventure
604,362,804,239,87,Adventure
605,2344,688,201,85,Adventure
606,1015,783,234,81,Adventure
607,2094,2288,736,80,Adventure
608,3406,394,105,79,Adventure
609,2077,538,154,76,Adventure
610,60,1147,357,76,Adventure
611,2879,568,164,76,Adventure
612,941,389,105,74,Adventure
613,897,368,98,74,Adventure
614,2370,499,142,73,Adventure
615,3926,605,180,65,Adventure
616,3412,590,175,65,Adventure
617,2899,415,117,64,Adventure
618,2173,392,110,62,Adventure
619,3771,513,151,60,Adventure
620,434,2116,686,58,Adventure
621,1216,318,87,57,Adventure
622,1009,927,291,54,Adventure
623,2135,762,238,48,Adventure
624,1544,3811,1255,46,Adventure
625,2043,517,158,43,Adventure
626,3417,262,73,43,Adventure
627,3036,562,174,40,Adventure
628,107,806,256,38,Adventure
629,421,316,94,34,Adventure
630,2880,249,72,33,Adventure
631,2057,304,91,31,Adventure
632,3807,347,106,29,Adventure
633,2037,191,54,29,Adventure
634,2275,239,71,26,Adventure
635,2045,190,55,25,Adventure
636,1030,994,323,25,Adventure
637,340,275,84,23,Adventure
638,3612,109,30,19,Adventure
639,808,146,43,17,Adventure
640,2430,448,144,16,Adventure
641,3585,73,19,16,Adventure
642,2822,802,263,13,Adventure
643,3489,2179,722,13,Adventure
644,1582,190,60,10,Adventure
645,2056,63,18,9,Adventure
646,2723,2568,853,9,Adventure
647,1848,539,177,8,Adventure
648,2101,53,15,8,Adventure
649,3492,50,14,8,Adventure
650,674,1164,386,6,Adventure
651,2103,114,37,3,Adventure
652,925,39,12,3,Adventure
653,3345,72,23,3,Adventure
654,3139,54,17,3,Adventure
655,2615,569,189,2,Adventure
656,1899,32,10,2,Adventure
657,3172,5,1,2,Adventure
658,8,205,68,1,Adventure
659,3207,16,5,1,Adventure
660,1070,6,2,0,Adventure
661,33,12,4,0,Adventure
662,2895,6,2,0,Adventure
663,1118,2,1,-1,Adventure
664,2602,17,6,-1,Adventure
665,2821,8,3,-1,Adventure
666,754,38,13,-1,Adventure
667,146,52,18,-2,Adventure
668,2039,1,1,-2,Adventure
669,577,163,55,-2,Adventure
670,1849,18,7,-3,Adventure
671,158,772,259,-5,Adventure
672,392,70,25,-5,Adventure
673,3672,463,156,-5,Adventure
674,828,157,54,-5,Adventure
675,1551,102,36,-6,Adventure
676,238,90,32,-6,Adventure
677,3805,95,34,-7,Adventure
678,1538,10,6,-8,Adventure
679,56,18,9,-9,Adventure
680,484,77,29,-10,Adventure
681,462,74,28,-10,Adventure
682,303,1244,418,-10,Adventure
683,3389,103,38,-11,Adventure
684,3166,7,6,-11,Adventure
685,1720,9,7,-12,Adventure
686,547,357,124,-15,Adventure
687,1881,189,68,-15,Adventure
688,609,186,67,-15,Adventure
689,1806,486,168,-18,Adventure
690,168,1068,362,-18,Adventure
691,3674,122,47,-19,Adventure
692,2322,850,290,-20,Adventure
693,3673,72,31,-21,Adventure
694,1867,92,38,-22,Adventure
695,990,139,54,-23,Adventure
696,1377,3069,1031,-24,Adventure
697,1744,206,77,-25,Adventure
698,761,343,123,-26,Adventure
699,2733,122,50,-28,Adventure
700,704,97,42,-29,Adventure
701,1605,234,88,-30,Adventure
702,2477,96,42,-30,Adventure
703,711,155,62,-31,Adventure
704,1887,149,60,-31,Adventure
705,3834,497,176,-31,Adventure
706,2429,509,180,-31,Adventure
707,2537,66,34,-36,Adventure
708,1011,368,135,-37,Adventure
709,1525,92,44,-40,Adventure
710,558,365,135,-40,Adventure
711,2093,787,276,-41,Adventure
712,1894,1371,471,-42,Adventure
713,3864,385,143,-44,Adventure
714,3390,55,33,-44,Adventure
715,809,270,105,-45,Adventure
716,2051,258,101,-45,Adventure
717,2735,1330,459,-47,Adventure
718,464,601,216,-47,Adventure
719,2449,49,32,-47,Adventure
720,2050,264,104,-48,Adventure
721,2041,387,145,-48,Adventure
722,1750,138,63,-51,Adventure
723,1826,62,40,-58,Adventure
724,798,552,204,-60,Adventure
725,3945,64,43,-65,Adventure
726,44,867,311,-66,Adventure
727,2054,3065,1045,-70,Adventure
728,1606,255,109,-72,Adventure
729,1495,58,44,-74,Adventure
730,2851,325,133,-74,Adventure
731,2399,595,223,-74,Adventure
732,2367,852,309,-75,Adventure
733,2368,98,58,-76,Adventure
734,15,359,146,-79,Adventure
735,3889,326,135,-79,Adventure
736,836,629,237,-82,Adventure
737,1595,113,65,-82,Adventure
738,258,349,144,-83,Adventure
739,2265,166,83,-83,Adventure
740,2373,469,189,-98,Adventure
741,126,197,99,-100,Adventure
742,3401,238,113,-101,Adventure
743,2162,427,177,-104,Adventure
744,1681,292,134,-110,Adventure
745,169,228,113,-111,Adventure
746,1359,550,222,-116,Adventure
747,455,738,285,-117,Adventure
748,3285,1143,423,-126,Adventure
749,2748,281,137,-130,Adventure
750,3190,346,161,-137,Adventure
751,2421,1277,477,-154,Adventure
752,1373,1685,613,-154,Adventure
753,2471,1088,414,-154,Adventure
754,688,485,213,-154,Adventure
755,3705,982,380,-158,Adventure
756,3877,368,182,-178,Adventure
757,1591,1245,475,-180,Adventure
758,1779,1441,541,-182,Adventure
759,2088,1222,471,-191,Adventure
760,673,1475,563,-214,Adventure
761,2950,807,346,-231,Adventure
762,208,1713,651,-240,Adventure
763,849,1283,511,-250,Adventure
764,2422,607,286,-251,Adventure
765,153,2053,777,-278,Adventure
766,2153,575,288,-289,Adventure
767,2720,808,373,-311,Adventure
768,1499,878,399,-319,Adventure
769,2642,1194,511,-339,Adventure
770,2643,627,332,-369,Adventure
771,173,1302,564,-390,Adventure
772,2450,911,434,-391,Adventure
773,546,656,350,-394,Adventure
774,160,1265,565,-430,Adventure
775,1562,1368,606,-450,Adventure
776,1,8613,2077,2382,Animation
777,3114,6687,1585,1932,Animation
778,2355,6564,1703,1455,Animation
779,1148,3976,882,1330,Animation
780,2987,6620,1799,1223,Animation
781,3751,5156,1329,1169,Animation
782,588,5118,1351,1065,Animation
783,745,2970,657,999,Animation
784,364,4328,1121,965,Animation
785,2700,4772,1269,965,Animation
786,595,4119,1060,939,Animation
787,1282,3682,943,853,Animation
788,2081,3888,1035,783,Animation
789,2761,2728,674,706,Animation
790,2080,3287,864,695,Animation
791,594,2934,763,645,Animation
792,1223,2063,473,644,Animation
793,720,1939,438,625,Animation
794,2078,2534,664,542,Animation
795,1022,2167,577,436,Animation
796,2018,2202,589,435,Animation
797,1274,1778,452,422,Animation
798,2137,1900,497,409,Animation
799,3000,1431,345,396,Animation
800,2087,2174,594,392,Animation
801,1029,2095,568,391,Animation
802,596,1868,498,374,Animation
803,3429,1188,274,366,Animation
804,1032,1941,525,366,Animation
805,3159,1724,453,365,Animation
806,1907,1834,490,364,Animation
807,2096,1896,511,363,Animation
808,741,1284,314,342,Animation
809,610,2192,618,338,Animation
810,2085,2032,565,337,Animation
811,2394,2068,579,331,Animation
812,2139,1421,369,314,Animation
813,2294,2247,645,312,Animation
814,2687,1620,442,294,Animation
815,2857,1475,399,278,Animation
816,2138,1172,305,257,Animation
817,3034,1284,343,255,Animation
818,661,1819,525,244,Animation
819,1023,881,221,218,Animation
820,3745,1809,535,204,Animation
821,1025,1058,293,179,Animation
822,2141,1385,404,173,Animation
823,1688,1065,304,153,Animation
824,2116,1460,438,146,Animation
825,2099,796,221,133,Animation
826,1566,1538,469,131,Animation
827,3213,826,232,130,Animation
828,1033,990,287,129,Animation
829,2090,865,249,118,Animation
830,616,932,278,98,Animation
831,1205,781,231,88,Animation
832,783,1257,390,87,Animation
833,2102,667,197,76,Animation
834,3615,1110,345,75,Animation
835,2048,458,131,65,Animation
836,2899,415,117,64,Animation
837,2495,353,98,59,Animation
838,2089,764,239,47,Animation
839,2810,161,41,38,Animation
840,2033,633,200,33,Animation
841,1024,409,126,31,Animation
842,13,323,99,26,Animation
843,1030,994,323,25,Animation
844,1405,1444,475,19,Animation
845,2189,78,21,15,Animation
846,1151,108,31,15,Animation
847,3759,114,35,9,Animation
848,3725,344,112,8,Animation
849,3776,80,24,8,Animation
850,709,438,144,6,Animation
851,3775,65,20,5,Animation
852,3483,506,168,2,Animation
853,2800,67,22,1,Animation
854,3611,46,15,1,Animation
855,3592,20,8,-4,Animation
856,313,156,54,-6,Animation
857,48,1137,382,-9,Animation
858,244,19,10,-11,Animation
859,2559,70,27,-11,Animation
860,3400,73,29,-14,Animation
861,2876,114,43,-15,Animation
862,1881,189,68,-15,Animation
863,1489,95,37,-16,Animation
864,239,483,168,-21,Animation
865,1064,605,209,-22,Animation
866,2566,97,40,-23,Animation
867,2123,617,215,-28,Animation
868,2354,392,141,-31,Animation
869,2142,569,201,-34,Animation
870,3287,352,129,-35,Animation
871,888,106,48,-38,Animation
872,558,365,135,-40,Animation
873,3945,64,43,-65,Animation
874,631,156,75,-69,Animation
875,1920,1023,364,-69,Animation
876,2092,397,163,-92,Animation
877,3754,514,206,-104,Animation
878,3799,162,100,-138,Animation
879,3054,269,136,-139,Animation
880,673,1475,563,-214,Animation
881,1,8613,2077,2382,Children's
882,1097,8997,2269,2190,Children's
883,919,7298,1718,2144,Children's
884,3114,6687,1585,1932,Children's
885,34,6814,1751,1561,Children's
886,2355,6564,1703,1455,Children's
887,3751,5156,1329,1169,Children's
888,1073,5070,1313,1131,Children's
889,588,5118,1351,1065,Children's
890,364,4328,1121,965,Children's
